,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
0,TRNJTPB128F427AE9F,0.416,0.786,4,-9.009,0,0.0806,0.326,0.0143,0.224,0.493,149.356,2KsnSzoJlmfT44jFOqRP1E
1,TRLFJHA128F427AEEA,0.352,0.145,10,-11.838,0,0.0359,0.903,0,0.181,0.193,80.51,4qV4ErzHMz4XYGWxMkOFBw
2,TRCQZAG128F427DB97,0.484,0.657,7,-7.034,1,0.0303,0.361,0.00249,0.117,0.467,117.72,2o2jnahWDsvyo8v0vV3dif
3,TRSIZRN128F427DB95,0.332,0.899,9,-6.756,0,0.0659,0.0517,0.0337,0.152,0.505,100.563,4YsdlcE3GqCHpZD4jNDJgD
4,TRDYTEO128F427DB90,0.478,0.854,9,-7.11,1,0.0659,0.00182,2.44e-06,0.0814,0.657,132.659,4aumrXau5uVKj8xXcQELP3
5,TRKSICM128F427DB8B,0.576,0.889,10,-7.493,1,0.0433,0.102,8.9e-06,0.0539,0.814,121.065,6sH5tkQoXL3YKV0hpXZoWj
6,TRJPXIV128F426697A,0.401,0.659,11,-9.794,0,0.0374,0.0846,0.00137,0.321,0.517,186.627,1P37l3UBUo49cqATq6Qccz
7,TRXWSIN128F4265A40,0.585,0.754,2,-8.954,1,0.114,0.257,0.0117,0.111,0.354,120.413,55f36XW2w1moYF70wsaHLB
8,TRNVQPE128F426BBD2,0.373,0.869,4,-7.719,1,0.0554,0.164,7.76e-06,0.605,0.696,184.024,6N0AnkdDFZUetw8KAGHV7e
9,TRUUZXH128F426C1AD,0.424,0.878,9,-5.875,1,0.0486,0.245,0.00249,0.435,0.686,97.335,5KBdHzTROSlD3dACh91sZx
10,TRYDTUP128F426BEC7,0.319,0.925,2,-5.499,1,0.0599,0.0714,7.15e-05,0.332,0.658,157.63,273lBFpxUCwisTpdnF9cVb
11,TRFSSVS128F425B088,0.487,0.488,0,-11.418,1,0.0262,0.00109,0.000671,0.541,0.183,134.62,4hO1SWYmqJF6X7O5rZaE6R
12,TRWUBTF128F4278A66,0.402,0.912,7,-7.094,1,0.0651,0.00367,0.274,0.802,0.687,143.231,1mKM34k8n1nLeMF1yt9EKS
13,TREFQBK128F4278A87,0.464,0.666,11,-10.012,0,0.0313,0.462,0.00364,0.426,0.372,128.694,0DcEV14d8zZykcFQ6PI2KQ
14,TRJBEOE128F4278A64,0.337,0.886,4,-8.607,1,0.098,0.0716,0.00156,0.204,0.648,177.713,0M7oqERflkrJVHD3IAZqxo
15,TRJWTEZ128F4267D7E,0.703,0.914,9,-6.965,1,0.0371,0.0158,0.0114,0.0933,0.963,131.932,6UdzZ9DsvXxq2CCBrdBICt
16,TRVQFXO128F4267C67,0.396,0.801,1,-6.475,0,0.0915,0.0805,0.0425,0.346,0.676,156.475,4cOqjEZyN13voCKivT0ae2
17,TROKMRZ128F4274B04,0.337,0.886,4,-8.607,1,0.098,0.0716,0.00156,0.204,0.648,177.713,0M7oqERflkrJVHD3IAZqxo
18,TRKYUXQ128F4274B06,0.402,0.912,7,-7.094,1,0.0651,0.00367,0.274,0.802,0.687,143.231,1mKM34k8n1nLeMF1yt9EKS
19,TRMJRWO128F4267A78,0.326,0.669,0,-8.657,1,0.0389,0.215,0.00116,0.141,0.353,92.951,1npDAUsFkVkq4Sw1jnP0Ap
20,TRFRBBJ128F4267EA6,0.565,0.603,4,-9.533,1,0.0287,0.0612,0.00144,0.0666,0.489,126.984,3OXc6xDxasnl4uj2jl1q4Y
21,TRUVCNQ128F4267B6D,0.632,0.565,9,-9.948,0,0.0328,0.267,0,0.0816,0.462,90.79,2PicnFqnuKd9EwHp2xQvcn
22,TRZARJQ128F42679C9,0.467,0.711,2,-8.32,1,0.0308,0.101,2.46e-06,0.642,0.15,129.424,02zvSWg1ObrwxTX6VSi8Kf
23,TRNSLYZ128F4267C27,0.599,0.504,2,-8.617,0,0.0251,0.0531,6.41e-05,0.0874,0.677,99.227,67sHELyUVhbqCC4yFU2HrG
24,TRPSSSL128F4267C28,0.798,0.729,4,-7.221,1,0.029,0.00822,0.00113,0.0973,0.967,118.448,1SsxL4gTwVp2lXbqkQG4NK
25,TRXYOEC128F4267A52,0.632,0.79,0,-6.9,1,0.0385,0.175,0.00055,0.194,0.815,118.22,04Dn7n0AIpfNor06glHaeM
26,TRNPHLU128F42655FA,0.367,0.609,9,-11.221,0,0.0455,0.305,0.0256,0.196,0.445,149.394,60TYdVs6TWIsAJ1MPRdv59
27,TRMMSXG128F4260B30,0.49,0.925,7,-8.161,1,0.0665,0.0585,0.228,0.111,0.372,125.725,1G71UvXw5TFdGMQxkzFgdT
28,TRCSIDQ128F4260B2E,0.453,0.757,4,-10.067,0,0.0326,0.0877,0.308,0.242,0.755,143.053,59ENhfT8TIFjB30TUVG4PA
